"","plot","period","effort","year","month","y_count","y_occ","newmoonnumber","ym","precip","airtemp","precip_lag1","precip_lag2","ndvi","season"
"72",3,4,49,1977,10,2,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"73",4,4,49,1977,10,1,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"74",5,4,49,1977,10,2,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"75",6,4,49,1977,10,5,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"76",7,4,49,1977,10,0,0,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"77",8,4,49,1977,10,0,0,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"78",9,4,49,1977,10,2,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"79",10,4,49,1977,10,0,0,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"80",11,4,49,1977,10,2,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"81",12,4,49,1977,10,3,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"82",13,4,49,1977,10,3,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"83",14,4,49,1977,10,3,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"84",15,4,49,1977,10,1,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"85",16,4,49,1977,10,3,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"86",17,4,49,1977,10,5,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"87",18,4,49,1977,10,3,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"88",19,4,49,1977,10,4,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"89",20,4,49,1977,10,3,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"90",21,4,49,1977,10,1,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"91",22,4,49,1977,10,2,1,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"92",23,4,49,1977,10,0,0,4,1977-10-01,NA,NA,NA,NA,NA,"fall"
"93",1,5,49,1977,11,2,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"94",2,5,49,1977,11,4,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"95",3,5,49,1977,11,0,0,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"96",4,5,49,1977,11,0,0,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"97",5,5,49,1977,11,2,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"98",6,5,49,1977,11,2,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"99",7,5,49,1977,11,0,0,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"100",8,5,49,1977,11,0,0,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"101",9,5,49,1977,11,2,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"102",10,5,49,1977,11,0,0,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"103",11,5,49,1977,11,2,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"104",12,5,49,1977,11,2,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"105",13,5,49,1977,11,2,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"106",14,5,49,1977,11,3,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"107",15,5,49,1977,11,0,0,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"108",16,5,49,1977,11,0,0,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"109",17,5,49,1977,11,3,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"110",18,5,49,1977,11,2,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"111",19,5,49,1977,11,0,0,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"112",20,5,49,1977,11,2,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"113",21,5,49,1977,11,0,0,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"114",22,5,49,1977,11,2,1,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"115",23,5,49,1977,11,0,0,5,1977-11-01,NA,NA,NA,NA,NA,"fall"
"116",1,6,49,1977,12,2,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"117",2,6,49,1977,12,5,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"118",3,6,49,1977,12,0,0,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"119",4,6,49,1977,12,0,0,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"120",5,6,49,1977,12,1,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"121",6,6,49,1977,12,1,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"122",7,6,49,1977,12,0,0,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"123",8,6,49,1977,12,0,0,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"124",9,6,49,1977,12,2,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"125",10,6,49,1977,12,0,0,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"126",11,6,49,1977,12,2,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"127",12,6,49,1977,12,2,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"128",13,6,49,1977,12,3,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"129",14,6,49,1977,12,3,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"130",15,6,49,1977,12,0,0,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"131",16,6,49,1977,12,0,0,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"132",17,6,49,1977,12,4,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"133",18,6,49,1977,12,3,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"134",19,6,49,1977,12,0,0,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"135",20,6,49,1977,12,2,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"136",21,6,49,1977,12,0,0,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"137",22,6,49,1977,12,1,1,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"138",23,6,49,1977,12,0,0,6,1977-12-01,NA,NA,NA,NA,NA,"winter"
"139",1,7,49,1978,1,2,1,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"140",2,7,49,1978,1,9,1,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"141",3,7,49,1978,1,0,0,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"142",4,7,49,1978,1,0,0,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"143",5,7,49,1978,1,1,1,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"144",6,7,49,1978,1,1,1,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"145",7,7,49,1978,1,0,0,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"146",8,7,49,1978,1,0,0,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"147",9,7,49,1978,1,2,1,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"148",10,7,49,1978,1,0,0,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"149",11,7,49,1978,1,3,1,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"150",12,7,49,1978,1,2,1,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"151",13,7,49,1978,1,2,1,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"152",14,7,49,1978,1,2,1,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"153",15,7,49,1978,1,0,0,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"154",16,7,49,1978,1,0,0,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"155",17,7,49,1978,1,3,1,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"156",18,7,49,1978,1,7,1,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"157",19,7,49,1978,1,0,0,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"158",20,7,49,1978,1,2,1,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"159",21,7,49,1978,1,0,0,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"160",22,7,49,1978,1,0,0,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"161",23,7,49,1978,1,0,0,7,1978-01-01,NA,NA,NA,NA,NA,"winter"
"162",1,8,49,1978,2,2,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"163",2,8,49,1978,2,4,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"164",3,8,49,1978,2,0,0,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"165",4,8,49,1978,2,1,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"166",5,8,49,1978,2,2,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"167",6,8,49,1978,2,1,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"168",7,8,49,1978,2,0,0,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"169",8,8,49,1978,2,0,0,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"170",9,8,49,1978,2,1,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"171",10,8,49,1978,2,0,0,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"172",11,8,49,1978,2,3,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"173",12,8,49,1978,2,2,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"174",13,8,49,1978,2,2,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"175",14,8,49,1978,2,1,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"176",15,8,49,1978,2,3,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"177",16,8,49,1978,2,2,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"178",17,8,49,1978,2,3,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"179",18,8,49,1978,2,3,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"180",19,8,49,1978,2,0,0,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"181",20,8,49,1978,2,2,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"182",21,8,49,1978,2,0,0,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"183",22,8,49,1978,2,1,1,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"184",23,8,49,1978,2,0,0,8,1978-02-01,NA,NA,NA,NA,NA,"winter"
"185",1,9,49,1978,3,2,1,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"186",2,9,49,1978,3,2,1,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"187",3,9,49,1978,3,0,0,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"188",4,9,49,1978,3,1,1,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"189",5,9,49,1978,3,5,1,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"190",6,9,49,1978,3,0,0,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"191",7,9,49,1978,3,0,0,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"192",8,9,49,1978,3,0,0,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"193",9,9,49,1978,3,0,0,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"194",10,9,49,1978,3,0,0,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"195",11,9,49,1978,3,3,1,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"196",12,9,49,1978,3,0,0,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"197",13,9,49,1978,3,0,0,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"198",14,9,49,1978,3,2,1,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"199",15,9,49,1978,3,5,1,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"200",16,9,49,1978,3,0,0,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"201",17,9,49,1978,3,2,1,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"202",18,9,49,1978,3,4,1,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"203",19,9,49,1978,3,0,0,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"204",20,9,49,1978,3,3,1,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"205",21,9,49,1978,3,0,0,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"206",22,9,49,1978,3,1,1,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"207",23,9,49,1978,3,0,0,9,1978-03-01,NA,NA,NA,NA,NA,"spring"
"208",1,10,49,1978,4,1,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"209",2,10,49,1978,4,3,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"210",3,10,49,1978,4,0,0,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"211",4,10,49,1978,4,1,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"212",5,10,49,1978,4,1,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"213",6,10,49,1978,4,0,0,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"214",7,10,49,1978,4,0,0,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"215",8,10,49,1978,4,1,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"216",9,10,49,1978,4,3,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"217",10,10,49,1978,4,0,0,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"218",11,10,49,1978,4,2,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"219",12,10,49,1978,4,2,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"220",13,10,49,1978,4,2,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"221",14,10,49,1978,4,1,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"222",15,10,49,1978,4,1,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"223",16,10,49,1978,4,1,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"224",17,10,49,1978,4,3,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"225",18,10,49,1978,4,4,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"226",19,10,49,1978,4,0,0,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"227",20,10,49,1978,4,1,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"228",21,10,49,1978,4,0,0,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"229",22,10,49,1978,4,1,1,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"230",23,10,49,1978,4,0,0,10,1978-04-01,NA,NA,NA,NA,NA,"spring"
"231",1,11,49,1978,5,3,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"232",2,11,49,1978,5,3,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"233",3,11,49,1978,5,0,0,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"234",4,11,49,1978,5,1,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"235",5,11,49,1978,5,0,0,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"236",6,11,49,1978,5,2,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"237",7,11,49,1978,5,0,0,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"238",8,11,49,1978,5,0,0,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"239",9,11,49,1978,5,1,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"240",10,11,49,1978,5,0,0,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"241",11,11,49,1978,5,4,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"242",12,11,49,1978,5,1,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"243",13,11,49,1978,5,0,0,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"244",14,11,49,1978,5,2,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"245",15,11,49,1978,5,1,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"246",16,11,49,1978,5,1,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"247",17,11,49,1978,5,5,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"248",18,11,49,1978,5,2,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"249",19,11,49,1978,5,0,0,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"250",20,11,49,1978,5,2,1,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"251",21,11,49,1978,5,0,0,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"252",22,11,49,1978,5,0,0,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"253",23,11,49,1978,5,0,0,11,1978-05-01,NA,NA,NA,NA,NA,"spring"
"254",1,12,49,1978,6,1,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"255",2,12,49,1978,6,1,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"256",3,12,49,1978,6,0,0,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"257",4,12,49,1978,6,0,0,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"258",5,12,49,1978,6,1,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"259",6,12,49,1978,6,3,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"260",7,12,49,1978,6,0,0,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"261",8,12,49,1978,6,0,0,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"262",9,12,49,1978,6,2,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"263",10,12,49,1978,6,0,0,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"264",11,12,49,1978,6,2,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"265",12,12,49,1978,6,3,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"266",13,12,49,1978,6,1,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"267",14,12,49,1978,6,2,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"268",15,12,49,1978,6,0,0,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"269",16,12,49,1978,6,1,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"270",17,12,49,1978,6,4,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"271",18,12,49,1978,6,4,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"272",19,12,49,1978,6,0,0,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"273",20,12,49,1978,6,4,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"274",21,12,49,1978,6,0,0,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"275",22,12,49,1978,6,1,1,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"276",23,12,49,1978,6,0,0,12,1978-06-01,NA,NA,NA,NA,NA,"summer"
"277",1,13,49,1978,7,1,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"278",2,13,49,1978,7,2,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"279",3,13,49,1978,7,0,0,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"280",4,13,49,1978,7,1,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"281",5,13,49,1978,7,1,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"282",6,13,49,1978,7,0,0,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"283",7,13,49,1978,7,0,0,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"284",8,13,49,1978,7,1,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"285",9,13,49,1978,7,2,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"286",10,13,49,1978,7,0,0,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"287",11,13,49,1978,7,1,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"288",12,13,49,1978,7,5,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"289",13,13,49,1978,7,2,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"290",14,13,49,1978,7,2,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"291",15,13,49,1978,7,0,0,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"292",16,13,49,1978,7,2,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"293",17,13,49,1978,7,5,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"294",18,13,49,1978,7,3,1,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
"295",19,13,49,1978,7,0,0,13,1978-07-01,NA,NA,NA,NA,NA,"summer"
